capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
8/18/2024,15-47-12,Germany,60424,67680,89.28
8/18/2024,15-47-12,Greece,2974,14805,20.09
8/18/2024,15-47-12,Hungary,7134,14805,48.19
8/18/2024,15-47-12,Ireland,5732,9165,62.54
8/18/2024,15-47-12,Italy,10505,53580,19.61
8/18/2024,15-47-12,Latvia,1884,5640,33.4
8/18/2024,15-47-12,Lithuania,3599,7755,46.41
8/18/2024,15-47-12,Luxembourg,516,4230,12.2
8/18/2024,15-47-12,Malta,387,4230,9.15
8/18/2024,15-47-12,Netherlands,18640,20445,91.17
8/18/2024,15-47-12,Poland,41862,36660,114.19
8/18/2024,15-47-12,Portugal,5763,14805,38.93
8/18/2024,15-47-12,Romania,9405,23265,40.43
8/18/2024,15-47-12,Slovakia,3342,9870,33.86
8/18/2024,15-47-12,Slovenia,1809,5640,32.07
8/18/2024,15-47-12,Spain,18285,41595,43.96
8/18/2024,15-47-12,Sweden,15520,14805,104.83
8/18/2024,15-47-12,Total number of signatories,279046,,
8/17/2024,20-32-38,Austria,5369,13395,40.08
8/17/2024,20-32-38,Belgium,8194,14805,55.35
8/17/2024,20-32-38,Bulgaria,3319,11985,27.69
8/17/2024,20-32-38,Croatia,2960,8460,34.99
8/17/2024,20-32-38,Cyprus,383,4230,9.05
8/17/2024,20-32-38,Czechia,5725,14805,38.67
8/17/2024,20-32-38,Denmark,9136,9870,92.56
8/17/2024,20-32-38,Estonia,2131,4935,43.18
8/17/2024,20-32-38,Finland,11671,9870,118.25
8/17/2024,20-32-38,France,21476,55695,38.56
8/17/2024,20-32-38,Germany,53678,67680,79.31
8/17/2024,20-32-38,Greece,2945,14805,19.89
8/17/2024,20-32-38,Hungary,7010,14805,47.35
8/17/2024,20-32-38,Ireland,5635,9165,61.48
8/17/2024,20-32-38,Italy,10350,53580,19.32
8/17/2024,20-32-38,Latvia,1868,5640,33.12
8/17/2024,20-32-38,Lithuania,3582,7755,46.19
8/17/2024,20-32-38,Luxembourg,497,4230,11.75
8/17/2024,20-32-38,Malta,381,4230,9.01
8/17/2024,20-32-38,Netherlands,18493,20445,90.45
8/17/2024,20-32-38,Poland,41142,36660,112.23
8/17/2024,20-32-38,Portugal,5722,14805,38.65
8/17/2024,20-32-38,Romania,9341,23265,40.15
8/17/2024,20-32-38,Slovakia,3315,9870,33.59
8/17/2024,20-32-38,Slovenia,1801,5640,31.93
8/17/2024,20-32-38,Spain,18171,41595,43.69
