capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
2025-07-04,08:05:40,France,104461,55695.0,187.56
2025-07-04,08:05:40,Germany,217794,67680.0,321.8
2025-07-04,08:05:40,Greece,15708,14805.0,106.1
2025-07-04,08:05:40,Hungary,20319,14805.0,137.24
2025-07-04,08:05:40,Ireland,28623,9165.0,312.31
2025-07-04,08:05:40,Italy,59586,53580.0,111.21
2025-07-04,08:05:40,Latvia,6358,5640.0,112.73
2025-07-04,08:05:40,Lithuania,11729,7755.0,151.24
2025-07-04,08:05:40,Luxembourg,2149,4230.0,50.8
2025-07-04,08:05:40,Malta,1530,4230.0,36.17
2025-07-04,08:05:40,Netherlands,66433,20445.0,324.94
2025-07-04,08:05:40,Poland,113410,36660.0,309.36
2025-07-04,08:05:40,Portugal,24678,14805.0,166.69
2025-07-04,08:05:40,Romania,29452,23265.0,126.59
2025-07-04,08:05:40,Slovakia,13826,9870.0,140.08
2025-07-04,08:05:40,Slovenia,5548,5640.0,98.37
2025-07-04,08:05:40,Spain,88586,41595.0,212.97
2025-07-04,08:05:40,Sweden,54076,14805.0,365.25
2025-07-04,08:05:40,Total number of signatories,1029329,,
2025-07-04,07:03:37,Austria,17138,13395.0,127.94
2025-07-04,07:03:37,Belgium,23762,14805.0,160.5
2025-07-04,07:03:37,Bulgaria,11083,11985.0,92.47
2025-07-04,07:03:37,Croatia,11453,8460.0,135.38
2025-07-04,07:03:37,Cyprus,1718,4230.0,40.61
2025-07-04,07:03:37,Czechia,17571,14805.0,118.68
2025-07-04,07:03:37,Denmark,29043,9870.0,294.26
2025-07-04,07:03:37,Estonia,7612,4935.0,154.25
2025-07-04,07:03:37,Finland,45683,9870.0,462.85
2025-07-04,07:03:37,France,104461,55695.0,187.56
2025-07-04,07:03:37,Germany,217794,67680.0,321.8
2025-07-04,07:03:37,Greece,15708,14805.0,106.1
2025-07-04,07:03:37,Hungary,20319,14805.0,137.24
2025-07-04,07:03:37,Ireland,28623,9165.0,312.31
2025-07-04,07:03:37,Italy,59586,53580.0,111.21
2025-07-04,07:03:37,Latvia,6358,5640.0,112.73
2025-07-04,07:03:37,Lithuania,11729,7755.0,151.24
2025-07-04,07:03:37,Luxembourg,2149,4230.0,50.8
2025-07-04,07:03:37,Malta,1530,4230.0,36.17
2025-07-04,07:03:37,Netherlands,66433,20445.0,324.94
2025-07-04,07:03:37,Poland,113410,36660.0,309.36
2025-07-04,07:03:37,Portugal,24678,14805.0,166.69
2025-07-04,07:03:37,Romania,29452,23265.0,126.59
2025-07-04,07:03:37,Slovakia,13826,9870.0,140.08
2025-07-04,07:03:37,Slovenia,5548,5640.0,98.37
2025-07-04,07:03:37,Spain,88586,41595.0,212.97
2025-07-04,07:03:37,Sweden,54076,14805.0,365.25
2025-07-04,07:03:37,Total number of signatories,1029329,,
2025-07-04,23:25:53,Austria,18478,13395.0,137.95
2025-07-04,23:25:53,Belgium,26004,14805.0,175.64
2025-07-04,23:25:53,Bulgaria,12236,11985.0,102.09
2025-07-04,23:25:53,Croatia,12527,8460.0,148.07
2025-07-04,23:25:53,Cyprus,1890,4230.0,44.68
2025-07-04,23:25:53,Czechia,19706,14805.0,133.1
2025-07-04,23:25:53,Denmark,31870,9870.0,322.9
2025-07-04,23:25:53,Estonia,8252,4935.0,167.21
2025-07-04,23:25:53,Finland,50291,9870.0,509.53
2025-07-04,23:25:53,France,119887,55695.0,215.26
2025-07-04,23:25:53,Germany,242683,67680.0,358.57
2025-07-04,23:25:53,Greece,17475,14805.0,118.03
2025-07-04,23:25:53,Hungary,22512,14805.0,152.06
2025-07-04,23:25:53,Ireland,31328,9165.0,341.82
2025-07-04,23:25:53,Italy,64389,53580.0,120.17
2025-07-04,23:25:53,Latvia,6982,5640.0,123.79
2025-07-04,23:25:53,Lithuania,12743,7755.0,164.32
2025-07-04,23:25:53,Luxembourg,2380,4230.0,56.26
2025-07-04,23:25:53,Malta,1750,4230.0,41.37
2025-07-04,23:25:53,Netherlands,75543,20445.0,369.49
2025-07-04,23:25:53,Poland,125780,36660.0,343.1
2025-07-04,23:25:53,Portugal,27350,14805.0,184.73
2025-07-04,23:25:53,Romania,32117,23265.0,138.05
2025-07-04,23:25:53,Slovakia,15818,9870.0,160.26
2025-07-04,23:25:53,Slovenia,6057,5640.0,107.39
2025-07-04,23:25:53,Spain,99950,41595.0,240.29
2025-07-04,23:25:53,Sweden,59977,14805.0,405.11
2025-07-04,23:25:53,Total number of signatories,1145975,,
2025-07-03,06:22:44,Austria,16028,13395.0,119.66
2025-07-03,06:22:44,Belgium,22094,14805.0,149.23
2025-07-03,06:22:44,Bulgaria,10147,11985.0,84.66
2025-07-03,06:22:44,Croatia,10602,8460.0,125.32
2025-07-03,06:22:44,Cyprus,1556,4230.0,36.78
2025-07-03,06:22:44,Czechia,15524,14805.0,104.86
2025-07-03,06:22:44,Denmark,26701,9870.0,270.53
2025-07-03,06:22:44,Estonia,7134,4935.0,144.56
2025-07-03,06:22:44,Finland,41516,9870.0,420.63
2025-07-03,06:22:44,France,94622,55695.0,169.89
2025-07-03,06:22:44,Germany,199537,67680.0,294.82
2025-07-03,06:22:44,Greece,14405,14805.0,97.3
2025-07-03,06:22:44,Hungary,17894,14805.0,120.86
2025-07-03,06:22:44,Ireland,26252,9165.0,286.44
2025-07-03,06:22:44,Italy,55549,53580.0,103.67
2025-07-03,06:22:44,Latvia,5816,5640.0,103.12
2025-07-03,06:22:44,Lithuania,10885,7755.0,140.36
2025-07-03,06:22:44,Luxembourg,1984,4230.0,46.9
2025-07-03,06:22:44,Malta,1381,4230.0,32.65
2025-07-03,06:22:44,Netherlands,60094,20445.0,293.93
2025-07-03,06:22:44,Poland,103549,36660.0,282.46
2025-07-03,06:22:44,Portugal,22393,14805.0,151.25
2025-07-03,06:22:44,Romania,27134,23265.0,116.63
